idx_episode,score,score_mave100,experiment
1,0.0,,dqn:v02
2,-2.0,,dqn:v02
3,0.0,,dqn:v02
4,0.0,,dqn:v02
5,0.0,,dqn:v02
6,0.0,,dqn:v02
7,0.0,,dqn:v02
8,-3.0,,dqn:v02
9,-3.0,,dqn:v02
10,1.0,,dqn:v02
11,0.0,,dqn:v02
12,-1.0,,dqn:v02
13,0.0,,dqn:v02
14,0.0,,dqn:v02
15,-1.0,,dqn:v02
16,-2.0,,dqn:v02
17,1.0,,dqn:v02
18,0.0,,dqn:v02
19,0.0,,dqn:v02
20,-2.0,,dqn:v02
21,-1.0,,dqn:v02
22,0.0,,dqn:v02
23,2.0,,dqn:v02
24,0.0,,dqn:v02
25,0.0,,dqn:v02
26,-1.0,,dqn:v02
27,-1.0,,dqn:v02
28,-1.0,,dqn:v02
29,0.0,,dqn:v02
30,-1.0,,dqn:v02
31,0.0,,dqn:v02
32,0.0,,dqn:v02
33,2.0,,dqn:v02
34,0.0,,dqn:v02
35,-1.0,,dqn:v02
36,0.0,,dqn:v02
37,1.0,,dqn:v02
38,-1.0,,dqn:v02
39,0.0,,dqn:v02
40,0.0,,dqn:v02
41,-1.0,,dqn:v02
42,3.0,,dqn:v02
43,0.0,,dqn:v02
44,1.0,,dqn:v02
45,0.0,,dqn:v02
46,-1.0,,dqn:v02
47,-1.0,,dqn:v02
48,0.0,,dqn:v02
49,-1.0,,dqn:v02
50,0.0,,dqn:v02
51,0.0,,dqn:v02
52,0.0,,dqn:v02
53,0.0,,dqn:v02
54,1.0,,dqn:v02
55,-1.0,,dqn:v02
56,-1.0,,dqn:v02
57,0.0,,dqn:v02
58,3.0,,dqn:v02
59,1.0,,dqn:v02
60,1.0,,dqn:v02
61,2.0,,dqn:v02
62,0.0,,dqn:v02
63,0.0,,dqn:v02
64,1.0,,dqn:v02
65,0.0,,dqn:v02
66,-1.0,,dqn:v02
67,0.0,,dqn:v02
68,-2.0,,dqn:v02
69,0.0,,dqn:v02
70,0.0,,dqn:v02
71,-1.0,,dqn:v02
72,1.0,,dqn:v02
73,-4.0,,dqn:v02
74,-1.0,,dqn:v02
75,2.0,,dqn:v02
76,-1.0,,dqn:v02
77,1.0,,dqn:v02
78,0.0,,dqn:v02
79,-1.0,,dqn:v02
80,-1.0,,dqn:v02
81,1.0,,dqn:v02
82,-1.0,,dqn:v02
83,0.0,,dqn:v02
84,1.0,,dqn:v02
85,-1.0,,dqn:v02
86,-1.0,,dqn:v02
87,0.0,,dqn:v02
88,1.0,,dqn:v02
89,1.0,,dqn:v02
90,0.0,,dqn:v02
91,0.0,,dqn:v02
92,-3.0,,dqn:v02
93,1.0,,dqn:v02
94,0.0,,dqn:v02
95,0.0,,dqn:v02
96,-2.0,,dqn:v02
97,3.0,,dqn:v02
98,1.0,,dqn:v02
99,4.0,,dqn:v02
100,-1.0,-0.11,dqn:v02
101,3.0,-0.08,dqn:v02
102,1.0,-0.05,dqn:v02
103,1.0,-0.04,dqn:v02
104,2.0,-0.02,dqn:v02
105,1.0,-0.01,dqn:v02
106,-1.0,-0.02,dqn:v02
107,1.0,-0.01,dqn:v02
108,1.0,0.03,dqn:v02
109,2.0,0.08,dqn:v02
110,3.0,0.1,dqn:v02
111,0.0,0.1,dqn:v02
112,0.0,0.11,dqn:v02
113,2.0,0.13,dqn:v02
